OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percImpervious,percRoadRR,percBareGround,percBldg,percGrass,percTree,percWetland,percInlandWater,percCropland,percOcean,percBeach,percAADTgt5k,percAADTgt10k,percSlowdownLT2,percSlowdownLT4
113,1356683644,EndomondoTrip,1,4,1.97157824,1.067938209,0.903640032,6.979299545,1.47868371,0.349667668,0,0,24.38117981,7.677457809,36.68379211,26.1224041,6.571927547,-0.117779747,1 commute,26.26392937,23.47704887,0.384054124,11.75411224,20.97704887,15.02288437,0,1.546497703,0.574422896,0,0,43.11552429,42.91750717,43.54135132,50.15497208
114,1356683644,GoogleTrip,0,4,1.671834588,0.835917294,0.835917294,5.133042812,1.588242888,11.92932987,0,0,0.025087785,2.599435568,61.89053345,21.8227253,4.179586411,-0.162857324,1 commute,24.74880981,21.94479752,0.601314664,11.62921715,20.90616417,17.06787872,0.027500167,1.897511601,1.176805973,0,0,67.13450623,66.91114807,48.79851151,74.52883911
115,1356683644,MapQuestTrip,0,4,1.479702234,0.700911582,0.778790593,12.84487152,1.090306878,0,0,0,1.804918528,0,27.26468468,1.957123637,10.20215702,-0.088777162,1 commute,27.53039932,19.61486244,0.532584012,14.57033443,20.62965012,14.88418961,0.035985406,2.201993942,0,0,0,28.45203781,28.34186554,79.68147278,92.27072906
116,1356683644,ShortestPath,0,4,2.460710764,1.054590344,1.40612042,0,0.966707826,0,0,0,1.785468817,14.83467007,3.316076517,45.75105286,13.35814381,-0.109082721,1 commute,22.65447998,14.86606407,2.296303272,7.81563139,29.07084084,20.39387321,0,0.97584939,1.926957965,0,0,24.32007027,22.32185555,68.33969879,71.56865692
117,1356783376,EndomondoTrip,1,4,1.114511132,0.557255566,0.557255566,10.2888279,1.592158794,11.21959019,0,0,82.22762299,0,0,1.899726748,8.756873131,-0.020546138,1 commute,26.21656418,24.3006649,0.606329143,10.87917709,19.45768356,16.25516891,0.097548224,1.533993602,0.652871788,0,0,0.733166397,0.63306582,11.88497066,17.5567627
118,1356783376,GoogleTrip,0,4,1.7183429,0.900084376,0.818258524,7.299419403,1.472865343,13.52093792,0,0,8.944703102,6.543086052,41.00491333,7.45203352,21.11106873,-0.287997693,1 commute,21.09402466,19.58032608,0.569859684,9.004507065,23.77707291,16.5124321,0.050368879,7.136249542,2.275158882,0,0,29.93263054,29.85798073,49.72139359,66.89763641
119,1356783376,MapQuestTrip,0,4,2.093462229,1.088600278,1.004861832,4.848639965,1.088600278,0,0,0,7.448828697,9.811216354,10.01955986,20.83596802,10.80226421,-0.516057909,1 commute,21.05826187,14.43461609,0.746241033,9.701806068,26.54437828,21.40816879,0.147027656,4.328399658,1.631098509,0,0,16.87203598,16.86016655,86.13694,97.24984741
120,1356783376,ShortestPath,0,4,2.633960009,1.141382575,1.492577314,0,0.965785265,0,0,0,10.78364277,14.79442501,2.988675594,36.61310577,19.40350533,-0.387518913,1 commute,21.33880615,13.60687828,2.309468031,8.186185837,30.38648987,18.69067764,0.036764834,3.47356987,1.971160769,0,0,6.814121723,6.814121723,67.43490601,80.09513092
121,1356801140,EndomondoTrip,1,4,0.639915884,0.365666211,0.274249673,12.35189629,3.473829031,0,0,0,53.5918045,8.309118271,25.25611305,0.077055268,397.479187,-0.08221063,1 commute,35.01105881,22.32299995,2.459285736,24.32933617,8.299085617,7.055208206,0,0.523027062,0,0,0,93.03565979,73.04026031,12.36367321,59.84170151
122,1356801140,GoogleTrip,0,4,1.355322599,0.6776613,0.6776613,6.093948841,1.839366317,0,0,0,0,4.09193182,16.84784126,40.16197968,77.05976868,-0.331440181,1 commute,34.83105087,20.96702385,1.326026797,22.9177227,11.74021626,7.770656109,0,0.447301656,0,0,0,44.6372261,41.45750809,81.31176758,91.87599182
